"date","close","volume","open","high","low"
"2013/05/09","1626.6700","0.0000","1632.6900","1635.0100","1623.0900"
"2013/05/08","1632.6900","0.0000","1625.9500","1632.7800","1622.7000"
"2013/05/07","1625.9600","0.0000","1617.5500","1626.0300","1616.6400"
"2013/05/06","1617.5000","0.0000","1614.4000","1619.7700","1614.2100"
"2013/05/03","1614.4200","0.0000","1597.6000","1618.4600","1597.6000"
"2013/05/02","1597.5900","0.0000","1582.7700","1598.6000","1582.7700"
"2013/05/01","1582.7000","0.0000","1597.5500","1597.5500","1581.2800"
"2013/04/30","1597.5700","0.0000","1593.5800","1597.5700","1586.5000"
"2013/04/29","1593.6100","0.0000","1582.3400","1596.6500","1582.3400"
"2013/04/26","1582.2400","0.0000","1585.1600","1585.7800","1577.5600"
"2013/04/25","1585.1600","0.0000","1578.9300","1592.6400","1578.9300"
"2013/04/24","1578.7900","0.0000","1578.7800","1583.0000","1575.8000"
"2013/04/23","1578.7800","0.0000","1562.5000","1579.5800","1562.5000"
"2013/04/22","1562.5000","0.0000","1555.2500","1565.5500","1548.1900"
"2013/04/19","1555.2500","0.0000","1541.6100","1555.8900","1539.4000"
"2013/04/18","1541.6100","0.0000","1552.0300","1554.3800","1536.0300"
"2013/04/17","1552.0100","0.0000","1574.5700","1574.5700","1543.6900"
"2013/04/16","1574.5700","0.0000","1552.3600","1575.3500","1552.3600"
"2013/04/15","1552.3600","0.0000","1588.8400","1588.8400","1552.2800"
"2013/04/12","1588.8500","0.0000","1593.3000","1593.3000","1579.9700"
"2013/04/11","1593.3700","0.0000","1587.7300","1597.3500","1586.1700"
"2013/04/10","1587.7300","0.0000","1568.6100","1589.0700","1568.6100"
"2013/04/09","1568.6100","0.0000","1563.1100","1573.8900","1560.9200"
"2013/04/08","1563.0700","0.0000","1553.2600","1563.0700","1548.6300"
"2013/04/05","1553.2800","0.0000","1559.9800","1559.9800","1539.5000"
"2013/04/04","1559.9800","0.0000","1553.6900","1562.6000","1552.5200"
"2013/04/03","1553.6900","0.0000","1570.2500","1571.4700","1549.8000"
"2013/04/02","1570.2500","0.0000","1562.1700","1573.6600","1562.1700"
"2013/04/01","1562.1700","0.0000","1569.1800","1570.5700","1558.4700"
"2013/03/28","1569.1900","0.0000","1562.8600","1570.2800","1561.0800"
"2013/03/27","1562.8500","0.0000","1563.7500","1564.0700","1551.9000"
"2013/03/26","1563.7700","0.0000","1551.6900","1563.9500","1551.6900"
"2013/03/25","1551.6900","0.0000","1556.8900","1564.9100","1546.2200"
"2013/03/22","1556.8900","0.0000","1545.9000","1557.7400","1545.9000"
"2013/03/21","1545.8000","0.0000","1558.7100","1558.7100","1543.5500"
"2013/03/20","1558.7100","0.0000","1548.3400","1561.5600","1548.3400"
"2013/03/19","1548.3400","0.0000","1552.1000","1557.2500","1538.5700"
"2013/03/18","1552.1000","0.0000","1560.7000","1560.7000","1545.1300"
"2013/03/15","1560.7000","0.0000","1563.2100","1563.6200","1555.7400"
"2013/03/14","1563.2300","0.0000","1554.5200","1563.3200","1554.5200"
"2013/03/13","1554.5200","0.0000","1552.4800","1556.3900","1548.2500"
"2013/03/12","1552.4800","0.0000","1556.2200","1556.7700","1548.2400"
"2013/03/11","1556.2200","0.0000","1551.1500","1556.2700","1547.3600"
"2013/03/08","1551.1800","0.0000","1544.2600","1552.4800","1542.9400"
"2013/03/07","1544.2600","0.0000","1541.4600","1545.7800","1541.4600"
"2013/03/06","1541.4600","0.0000","1539.7900","1545.2500","1538.1100"
"2013/03/05","1539.7900","0.0000","1525.2000","1543.4700","1525.2000"
"2013/03/04","1525.2000","0.0000","1518.2000","1525.2700","1512.2900"
"2013/03/01","1518.2000","0.0000","1514.6800","1519.9900","1501.4800"
"2013/02/28","1514.6800","0.0000","1515.9900","1525.3400","1514.4600"
"2013/02/27","1515.9900","0.0000","1496.9400","1520.0800","1494.8800"
"2013/02/26","1496.9400","0.0000","1487.8500","1498.9900","1485.0100"
"2013/02/25","1487.8500","0.0000","1515.6000","1525.8400","1487.8500"
"2013/02/22","1515.6000","0.0000","1502.4200","1515.6400","1502.4200"
"2013/02/21","1502.4200","0.0000","1511.9500","1511.9500","1497.2900"
"2013/02/20","1511.9500","0.0000","1530.9400","1530.9400","1511.4100"
"2013/02/19","1530.9400","0.0000","1519.7900","1530.9400","1519.7900"
"2013/02/15","1519.7900","0.0000","1521.3800","1524.2400","1514.1400"
"2013/02/14","1521.3800","0.0000","1520.3300","1523.1400","1514.0200"
"2013/02/13","1520.3300","0.0000","1519.4300","1524.6900","1515.9300"
"2013/02/12","1519.4300","0.0000","1517.0100","1522.2900","1515.6100"
"2013/02/11","1517.0100","0.0000","1517.9300","1518.3100","1513.6100"
"2013/02/08","1517.9300","0.0000","1509.3900","1518.3100","1509.3900"
"2013/02/07","1509.3900","0.0000","1512.1200","1512.9000","1498.4900"
"2013/02/06","1512.1200","0.0000","1511.2900","1512.5300","1504.7100"
"2013/02/05","1511.2900","0.0000","1495.7100","1514.9600","1495.7100"
"2013/02/04","1495.7100","0.0000","1513.1700","1513.1700","1495.0200"
"2013/02/01","1513.1700","0.0000","1498.1100","1514.4100","1498.1100"
"2013/01/31","1498.1100","0.0000","1501.9600","1504.1900","1496.7600"
"2013/01/30","1501.9600","0.0000","1507.8400","1509.9400","1500.1100"
"2013/01/29","1507.8400","0.0000","1500.1800","1509.3500","1498.0900"
"2013/01/28","1500.1800","0.0000","1502.9600","1503.2300","1496.3300"
"2013/01/25","1502.9600","0.0000","1494.8200","1503.2600","1494.8200"
"2013/01/24","1494.8200","0.0000","1494.8100","1502.2700","1489.4600"
"2013/01/23","1494.8100","0.0000","1492.5600","1496.1300","1489.9000"
"2013/01/22","1492.5600","0.0000","1485.9800","1492.5600","1481.1600"
"2013/01/18","1485.9800","0.0000","1480.9500","1485.9800","1475.8100"
"2013/01/17","1480.9400","0.0000","1472.6300","1485.1600","1472.6300"
"2013/01/16","1472.6300","0.0000","1472.3300","1473.9600","1467.6000"
"2013/01/15","1472.3400","0.0000","1470.6700","1473.3100","1463.7600"
"2013/01/14","1470.6800","0.0000","1472.0500","1472.0500","1465.6900"
"2013/01/11","1472.0500","0.0000","1472.1200","1472.7500","1467.5800"
"2013/01/10","1472.1200","0.0000","1461.0200","1472.3000","1461.0200"
"2013/01/09","1461.0200","0.0000","1457.1500","1464.7300","1457.1500"
"2013/01/08","1457.1500","0.0000","1461.8900","1461.8900","1451.6400"
"2013/01/07","1461.8900","0.0000","1466.4700","1466.4700","1456.6200"
"2013/01/04","1466.4700","0.0000","1459.3700","1467.9400","1458.9900"
"2013/01/03","1459.3700","0.0000","1462.4200","1465.4700","1455.5300"
"2013/01/02","1462.4200","0.0000","1426.1900","1462.4300","1426.1900"
"2012/12/31","1426.1900","0.0000","1402.4300","1426.7400","1398.1100"
"2012/12/28","1402.4300","0.0000","1418.1000","1418.1000","1401.5800"
"2012/12/27","1418.1000","0.0000","1419.8300","1422.8000","1401.8000"
"2012/12/26","1419.8300","0.0000","1426.6600","1429.4200","1416.4300"
"2012/12/24","1426.6600","0.0000","1430.1500","1430.1500","1424.6600"
"2012/12/21","1430.1500","0.0000","1443.6700","1443.6700","1422.5800"
"2012/12/20","1443.6900","0.0000","1435.8100","1443.7000","1432.8200"
"2012/12/19","1435.8100","0.0000","1446.7900","1447.7500","1435.8000"
"2012/12/18","1446.7900","0.0000","1430.4700","1448.0000","1430.4700"
"2012/12/17","1430.3600","0.0000","1413.5400","1430.6700","1413.5400"
"2012/12/14","1413.5800","0.0000","1419.4500","1419.4500","1411.8800"
"2012/12/13","1419.4500","0.0000","1428.4800","1431.3600","1416.0000"
"2012/12/12","1428.4800","0.0000","1427.8400","1438.5900","1426.7600"
"2012/12/11","1427.8400","0.0000","1418.5500","1434.2700","1418.5500"
"2012/12/10","1418.5500","0.0000","1418.0700","1421.6400","1415.6400"
"2012/12/07","1418.0700","0.0000","1413.9500","1420.3400","1410.9000"
"2012/12/06","1413.9400","0.0000","1409.4300","1413.9500","1405.9300"
"2012/12/05","1409.2800","0.0000","1407.0500","1415.5600","1398.2300"
"2012/12/04","1407.0500","0.0000","1409.4600","1413.1400","1403.6500"
"2012/12/03","1409.4600","0.0000","1416.3400","1423.7300","1408.4600"
"2012/11/30","1416.1800","0.0000","1415.9500","1418.8600","1411.6300"
"2012/11/29","1415.9500","0.0000","1409.9600","1419.7000","1409.0400"
"2012/11/28","1409.9300","0.0000","1398.7700","1410.3100","1385.4300"
"2012/11/27","1398.9400","0.0000","1406.2900","1409.0100","1398.0300"
"2012/11/26","1406.2900","0.0000","1409.1500","1409.1500","1397.6800"
"2012/11/23","1409.1500","0.0000","1391.0300","1409.1600","1391.0300"
"2012/11/21","1391.0300","0.0000","1387.7900","1391.2500","1386.3900"
"2012/11/20","1387.8100","0.0000","1386.8200","1389.7700","1377.0400"
"2012/11/19","1386.8900","0.0000","1359.8800","1386.8900","1359.8800"
"2012/11/16","1359.8800","0.0000","1353.3600","1362.0300","1343.3500"
"2012/11/15","1353.3300","0.0000","1355.4100","1360.6200","1348.0500"
"2012/11/14","1355.4900","0.0000","1374.6400","1380.1300","1352.5000"
"2012/11/13","1374.5300","0.0000","1380.0300","1388.8100","1371.3900"
"2012/11/12","1380.0300","0.0000","1379.8600","1384.8700","1377.1900"
"2012/11/09","1379.8500","0.0000","1377.5500","1391.3900","1373.0300"
"2012/11/08","1377.5100","0.0000","1394.5300","1401.2300","1377.5100"
"2012/11/07","1394.5300","0.0000","1428.2700","1428.2700","1388.1400"
"2012/11/06","1428.3900","0.0000","1417.2600","1433.3800","1417.2600"
"2012/11/05","1417.2600","0.0000","1414.0200","1419.9000","1408.1300"
"2012/11/02","1414.2000","0.0000","1427.5900","1434.2700","1412.9100"
"2012/11/01","1412.1600","0.0000","1412.1600","1412.1600","1412.1600"
"2012/10/31","1412.1600","0.0000","1410.9900","1418.7600","1405.9500"
"2012/10/26","1411.9400","0.0000","1412.9700","1417.0900","1403.2800"
"2012/10/25","1412.9700","0.0000","1409.7400","1421.1200","1405.1400"
"2012/10/24","1408.7500","0.0000","1413.2000","1420.0400","1407.1000"
"2012/10/23","1413.1100","0.0000","1433.7400","1433.7400","1407.5600"
"2012/10/22","1433.8200","0.0000","1433.2100","1435.4600","1422.0600"
"2012/10/19","1433.1900","0.0000","1457.3400","1457.3400","1429.8500"
"2012/10/18","1457.3400","0.0000","1460.9400","1464.0200","1452.6300"
"2012/10/17","1460.9100","0.0000","1454.2200","1462.2000","1453.3500"
"2012/10/16","1454.9200","0.0000","1440.3100","1455.5100","1440.3100"
"2012/10/15","1440.1300","0.0000","1428.7500","1441.3100","1427.2400"
"2012/10/12","1428.5900","0.0000","1432.8400","1438.4300","1425.5300"
"2012/10/11","1432.8400","0.0000","1432.8200","1443.9000","1432.8200"
"2012/10/10","1432.5600","0.0000","1441.4800","1442.5200","1430.6400"
"2012/10/09","1441.4800","0.0000","1455.9000","1455.9000","1441.1800"
"2012/10/08","1455.8800","0.0000","1460.9300","1460.9300","1453.1000"
"2012/10/05","1460.9300","0.0000","1461.4000","1470.9600","1456.8900"
"2012/10/04","1461.4000","0.0000","1451.0800","1463.1400","1451.0800"
"2012/10/03","1450.9900","0.0000","1446.0500","1454.3000","1441.9900"
"2012/10/02","1445.7500","0.0000","1444.9900","1451.5200","1439.0100"
"2012/10/01","1444.4900","0.0000","1440.9000","1457.1400","1440.9000"
"2012/09/28","1440.6700","0.0000","1447.1300","1447.1300","1435.6000"
"2012/09/27","1447.1500","0.0000","1433.3600","1450.2000","1433.3600"
"2012/09/26","1433.3200","0.0000","1441.6000","1441.6000","1430.5300"
"2012/09/25","1441.5900","0.0000","1456.9400","1463.2400","1441.5900"
"2012/09/24","1456.8900","0.0000","1459.7600","1460.7200","1452.0600"
"2012/09/21","1460.1500","0.0000","1460.3400","1467.0700","1459.5100"
"2012/09/20","1460.2600","0.0000","1461.0500","1461.2300","1449.9800"
"2012/09/19","1461.0500","0.0000","1459.5000","1465.1500","1457.8800"
"2012/09/18","1459.3200","0.0000","1461.1900","1461.4700","1456.1300"
"2012/09/17","1461.1900","0.0000","1465.4200","1465.6300","1457.5500"
"2012/09/14","1465.7700","0.0000","1460.0700","1474.5100","1460.0700"
"2012/09/13","1459.9900","0.0000","1436.5600","1463.7600","1435.3400"
"2012/09/12","1436.5600","0.0000","1433.5600","1439.1500","1432.9900"
"2012/09/11","1433.5600","0.0000","1429.1300","1437.7600","1429.1300"
"2012/09/10","1429.0800","0.0000","1437.9200","1438.7400","1428.9800"
"2012/09/07","1437.9200","0.0000","1432.1200","1437.9200","1431.4500"
"2012/09/06","1432.1200","0.0000","1403.7400","1432.1200","1403.7400"
"2012/09/05","1403.4400","0.0000","1404.9400","1408.8100","1401.2500"
"2012/09/04","1404.9400","0.0000","1406.5400","1409.3100","1396.5600"
"2012/08/31","1406.5800","0.0000","1400.0700","1413.0900","1398.9600"
"2012/08/30","1399.4800","0.0000","1410.0800","1410.0800","1397.0100"
"2012/08/29","1410.4900","0.0000","1409.3200","1413.9500","1406.5700"
"2012/08/28","1409.3000","0.0000","1410.4400","1413.6300","1405.5900"
"2012/08/27","1410.4400","0.0000","1411.1300","1416.1700","1409.1100"
"2012/08/24","1411.1300","0.0000","1401.9900","1413.4600","1398.0400"
"2012/08/23","1402.0800","0.0000","1413.4900","1413.4900","1400.5000"
"2012/08/22","1413.4900","0.0000","1413.0900","1416.1200","1406.7800"
"2012/08/21","1413.1700","0.0000","1418.1300","1426.6800","1410.8600"
"2012/08/20","1418.1300","0.0000","1417.8500","1418.1300","1412.1200"
"2012/08/17","1418.1600","0.0000","1415.8400","1418.7100","1414.6700"
"2012/08/16","1415.5100","0.0000","1405.5700","1417.4400","1404.1500"
"2012/08/15","1405.5300","0.0000","1403.8900","1407.7300","1401.8300"
"2012/08/14","1403.9300","0.0000","1404.3600","1410.0300","1400.6000"
"2012/08/13","1404.1100","0.0000","1405.8700","1405.8700","1397.3200"
"2012/08/10","1405.8700","0.0000","1402.5800","1405.9800","1395.6200"
"2012/08/09","1402.8000","0.0000","1402.2600","1405.9500","1398.8000"
"2012/08/08","1402.2200","0.0000","1401.2300","1404.1400","1396.1300"
"2012/08/07","1401.3500","0.0000","1394.4600","1407.1400","1394.4600"
"2012/08/06","1394.2300","0.0000","1391.0400","1399.6300","1391.0400"
"2012/08/03","1390.9900","0.0000","1365.4500","1394.1600","1365.4500"
"2012/08/02","1365.0000","0.0000","1375.1300","1375.1300","1354.6500"
"2012/08/01","1375.1400","0.0000","1379.3200","1385.0300","1373.3500"
"2012/07/31","1379.3200","0.0000","1385.2700","1387.1600","1379.1700"
"2012/07/30","1385.3000","0.0000","1385.9400","1391.7400","1381.3700"
"2012/07/27","1385.9700","0.0000","1360.0500","1389.1900","1360.0500"
"2012/07/26","1360.0200","0.0000","1338.1700","1363.1300","1338.1700"
"2012/07/25","1337.8900","0.0000","1338.3500","1343.9800","1331.5000"
"2012/07/24","1338.3100","0.0000","1350.5200","1351.5300","1329.2400"
"2012/07/23","1350.5200","0.0000","1362.3400","1362.3400","1337.5600"
"2012/07/20","1362.6600","0.0000","1376.5100","1376.5100","1362.1900"
"2012/07/19","1376.5100","0.0000","1373.0100","1380.3900","1371.2100"
"2012/07/18","1372.7800","0.0000","1363.5800","1375.2600","1358.9600"
"2012/07/17","1363.6700","0.0000","1353.6800","1365.3600","1345.0700"
"2012/07/16","1353.6400","0.0000","1356.5000","1357.2600","1348.5100"
"2012/07/13","1356.7800","0.0000","1334.8100","1357.7000","1334.8100"
"2012/07/12","1334.7600","0.0000","1341.2900","1341.2900","1325.4100"
"2012/07/11","1341.4500","0.0000","1341.4000","1345.0000","1333.2500"
"2012/07/10","1341.4700","0.0000","1352.9600","1361.5400","1336.2700"
"2012/07/09","1352.4600","0.0000","1354.6600","1354.8700","1346.6500"
"2012/07/06","1354.6800","0.0000","1367.0900","1367.0900","1348.0300"
"2012/07/05","1367.5800","0.0000","1373.7200","1373.8500","1363.0200"
"2012/07/03","1374.0200","0.0000","1365.7500","1374.8100","1363.5300"
"2012/07/02","1365.5100","0.0000","1362.3300","1366.3500","1355.7000"
"2012/06/29","1362.1600","0.0000","1330.1200","1362.1700","1330.1200"
"2012/06/28","1329.0400","0.0000","1331.5200","1331.5200","1313.2900"
"2012/06/27","1331.8500","0.0000","1320.7100","1334.4000","1320.7100"
"2012/06/26","1319.9900","0.0000","1314.0900","1324.2400","1310.3000"
"2012/06/25","1313.7200","0.0000","1334.9000","1334.9000","1309.2700"
"2012/06/22","1335.0200","0.0000","1325.9200","1337.8200","1325.9200"
"2012/06/21","1325.5100","0.0000","1355.4300","1358.2700","1324.4100"
"2012/06/20","1355.6900","0.0000","1358.0400","1361.5700","1346.4500"
"2012/06/19","1357.9800","0.0000","1344.8300","1363.4600","1344.8300"
"2012/06/18","1344.7800","0.0000","1342.4200","1348.2200","1334.4600"
"2012/06/15","1342.8400","0.0000","1329.1900","1343.3200","1329.1900"
"2012/06/14","1329.1000","0.0000","1314.8800","1333.6800","1314.1400"
"2012/06/13","1314.8800","0.0000","1324.0200","1327.2800","1310.5100"
"2012/06/12","1324.1800","0.0000","1309.4000","1324.3100","1306.6200"
"2012/06/11","1308.9300","0.0000","1325.7200","1335.5200","1307.7300"
"2012/06/08","1325.6600","0.0000","1314.9900","1325.8100","1307.7700"
